item,category,price,quantity,rating
item_0,Toys,47.45,15,4.7
item_1,Sports,56.83,25,3.3
item_2,Home,92.38,37,1.1
item_3,Sports,80.93,28,4.7
item_4,Sports,,10,2.0
item_5,Clothing,38.06,39,
item_6,Home,47.78,17,1.7
item_7,Home,15.02,39,1.1
item_8,Home,23.17,22,2.2
item_9,Sports,,26,4.1
item_10,Toys,27.05,44,2.1
item_11,Home,77.79,25,1.9
item_12,Sports,32.9,17,1.9
item_13,Clothing,29.46,13,3.1
item_14,Toys,67.66,20,4.9
item_15,Clothing,41.01,25,2.8
item_16,Toys,58.37,4,3.2
item_17,Sports,35.44,10,4.4
item_18,Electronics,13.96,3,3.1
item_19,Toys,59.35,41,1.7
item_20,Clothing,18.97,45,2.2
item_21,Sports,39.79,18,2.2
item_22,Toys,35.34,47,2.6
item_23,Electronics,53.91,36,2.7
item_24,Electronics,38.88,47,4.2
item_25,Home,47.45,22,2.4
item_26,Home,18.79,34,2.9
item_27,Clothing,90.01,47,3.5
item_28,Toys,26.0,8,2.5
item_29,Toys,74.03,40,4.3
item_30,Home,53.0,49,3.3
item_31,Toys,52.82,44,
item_32,Toys,57.09,19,3.9
item_33,Electronics,12.39,42,3.1
item_34,Home,,41,3.1
item_35,Sports,39.78,37,2.9
item_36,Home,74.21,6,3.0
item_37,Sports,46.98,26,4.1
item_38,Electronics,42.51,34,1.4
item_39,Clothing,24.18,45,2.3
item_40,Toys,34.69,6,1.3
item_41,Electronics,,37,4.0
item_42,Toys,23.84,33,2.1
item_43,Clothing,10.19,22,4.6
item_44,Clothing,32.85,21,3.1
item_45,Electronics,66.8,6,4.2
item_46,Clothing,85.63,6,4.9
item_47,Sports,,48,4.4
item_48,Clothing,19.02,4,4.5
item_49,Toys,43.14,30,2.6
item_50,Toys,53.68,11,3.2
item_51,Toys,61.56,30,2.0
item_52,Toys,92.69,31,1.8
item_53,Sports,54.54,24,3.0
item_54,Home,,9,3.4
item_55,Electronics,40.74,3,2.4
item_56,Toys,51.73,31,3.3
item_57,Clothing,38.14,40,4.5
item_58,Toys,728.0,37,3.2
item_59,Clothing,44.73,36,3.9
item_60,Clothing,44.39,24,
item_61,Toys,,31,5.0
item_62,Sports,39.01,6,3.4
item_63,Clothing,1438.8,2,4.2
item_64,Clothing,92.26,20,4.9
item_65,Toys,40.03,28,4.8
item_66,Clothing,43.51,11,1.6
item_67,Clothing,60.49,4,2.6
item_68,Toys,113.74,15,2.3
item_69,Toys,51.68,6,1.3
item_70,Electronics,,49,3.5
item_71,Sports,80.89,30,3.9
item_72,Sports,,38,4.4
item_73,Clothing,68.52,2,1.5
item_74,Sports,62.16,15,4.5
item_75,Clothing,70.65,11,3.6
item_76,Electronics,29.31,8,3.8
item_77,Toys,,26,4.6
item_78,Toys,59.62,45,3.5
item_79,Toys,59.34,44,2.3
item_80,Sports,72.74,5,4.3
item_81,Electronics,58.94,6,2.5
item_82,Sports,27.1,26,1.1
item_83,Sports,61.83,4,4.3
item_84,Electronics,32.34,19,2.4
item_85,Electronics,36.01,20,4.1
item_86,Electronics,41.63,33,2.5
item_87,Electronics,47.77,20,4.4
item_88,Toys,19.13,49,1.9
item_89,Home,72.34,12,4.9
item_90,Home,,47,4.1
item_91,Electronics,81.4,1,1.5
item_92,Home,27.5,26,3.3
item_93,Home,75.64,14,4.9
item_94,Electronics,49.43,38,2.9
item_95,Home,15.67,37,1.7
item_96,Sports,29.14,11,2.9
item_97,Clothing,76.53,36,3.0
item_98,Clothing,58.97,13,4.0
item_99,Electronics,48.43,43,3.8
item_100,Toys,5.66,3,2.6
item_101,Electronics,77.79,33,1.9
